cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
1011,10,MALDONADO,11,PAYSANDU,95,51311595,164298,26828524,113107,457785,17.104976207843436,13.034154920564069
1211,12,RIO NEGRO,11,PAYSANDU,516,24297744,54765,26828524,113107,78652,17.104976207843436,11.272788337279447
1311,13,RIVERA,11,PAYSANDU,143,20212707,103473,26828524,113107,340541,17.104976207843436,12.73829080848292
1411,14,ROCHA,11,PAYSANDU,32,17547856,68088,26828524,113107,536157,17.104976207843436,13.19218230761081
1511,15,SALTO,11,PAYSANDU,564,25542275,124861,26828524,113107,121842,17.104976207843436,11.710480402404773
1611,16,SAN JOSE,11,PAYSANDU,59,26930981,108304,26828524,113107,306476,17.104976207843436,12.632894727866756
1711,17,SORIANO,11,PAYSANDU,181,22993631,82594,26828524,113107,145587,17.104976207843436,11.888529125044231
1811,18,TACUAREMBO,11,PAYSANDU,261,18093592,90051,26828524,113107,240569,17.104976207843436,12.390762229666265
1911,19,TREINTA Y TRES,11,PAYSANDU,16,11720592,48134,26828524,113107,454655,17.104976207843436,13.027294168564168
112,1,MONTEVIDEO,12,RIO NEGRO,886,465848031,1318755,24297744,54765,314776,17.00589406449475,12.659616553737225
212,2,ARTIGAS,12,RIO NEGRO,57,14214980,73377,24297744,54765,380391,17.00589406449475,12.848954950067492
312,3,CANELONES,12,RIO NEGRO,154,86306492,520173,24297744,54765,313044,17.00589406449475,12.654099034722412
412,4,CERRO LARGO,12,RIO NEGRO,41,17048887,84698,24297744,54765,486397,17.00589406449475,13.094780441851915
512,5,COLONIA,12,RIO NEGRO,88,43788749,123203,24297744,54765,173119,17.00589406449475,12.06173449828346
612,6,DURAZNO,12,RIO NEGRO,62,13023942,57084,24297744,54765,235433,17.00589406449475,12.369181650898934
712,7,FLORES,12,RIO NEGRO,36,7284124,25050,24297744,54765,166083,17.00589406449475,12.020242942380332
812,8,FLORIDA,12,RIO NEGRO,30,17767290,67047,24297744,54765,290364,17.00589406449475,12.578890587306093
912,9,LAVALLEJA,12,RIO NEGRO,11,15594153,58815,24297744,54765,401227,17.00589406449475,12.902282630911184
1012,10,MALDONADO,12,RIO NEGRO,95,51311595,164298,24297744,54765,423946,17.00589406449475,12.957361367612748
1112,11,PAYSANDU,12,RIO NEGRO,640,26828524,113107,24297744,54765,78652,17.00589406449475,11.272788337279447
1312,13,RIVERA,12,RIO NEGRO,36,20212707,103473,24297744,54765,382195,17.00589406449475,12.853686228546799
1412,14,ROCHA,12,RIO NEGRO,30,17547856,68088,24297744,54765,515282,17.00589406449475,13.152469602598117
1512,15,SALTO,12,RIO NEGRO,161,25542275,124861,24297744,54765,197616,17.00589406449475,12.194081032677795
1612,16,SAN JOSE,12,RIO NEGRO,55,26930981,108304,24297744,54765,255902,17.00589406449475,12.45254983767029
1712,17,SORIANO,12,RIO NEGRO,372,22993631,82594,24297744,54765,67704,17.00589406449475,11.122900541349942
1812,18,TACUAREMBO,12,RIO NEGRO,134,18093592,90051,24297744,54765,282223,17.00589406449475,12.550452817560215
1912,19,TREINTA Y TRES,12,RIO NEGRO,16,11720592,48134,24297744,54765,443288,17.00589406449475,13.001974950662264
113,1,MONTEVIDEO,13,RIVERA,1665,465848031,1318755,20212707,103473,496031,16.821822024002444,13.11439370375402
213,2,ARTIGAS,13,RIVERA,146,14214980,73377,20212707,103473,165817,16.821822024002444,12.018640049599663
313,3,CANELONES,13,RIVERA,320,86306492,520173,20212707,103473,487220,16.821822024002444,13.09647104543838
413,4,CERRO LARGO,13,RIVERA,145,17048887,84698,20212707,103473,240871,16.821822024002444,12.392016799455277
513,5,COLONIA,13,RIVERA,34,43788749,123203,20212707,103473,484613,16.821822024002444,13.091105913253198
613,6,DURAZNO,13,RIVERA,42,13023942,57084,20212707,103473,336484,16.821822024002444,12.726305878645231
713,7,FLORES,13,RIVERA,10,7284124,25050,20212707,103473,359348,16.821822024002444,12.792046557276537
813,8,FLORIDA,13,RIVERA,46,17767290,67047,20212707,103473,419126,16.821822024002444,12.945926869688737
913,9,LAVALLEJA,13,RIVERA,25,15594153,58815,20212707,103473,464972,16.821822024002444,13.04973246770273
1013,10,MALDONADO,13,RIVERA,117,51311595,164298,20212707,103473,533797,16.821822024002444,13.18777089585434
1113,11,PAYSANDU,13,RIVERA,66,26828524,113107,20212707,103473,340541,16.821822024002444,12.73829080848292
1213,12,RIO NEGRO,13,RIVERA,54,24297744,54765,20212707,103473,382195,16.821822024002444,12.853686228546799
1413,14,ROCHA,13,RIVERA,17,17547856,68088,20212707,103473,466323,16.821822024002444,13.052633806049226
1513,15,SALTO,13,RIVERA,97,25542275,124861,20212707,103473,286873,16.821822024002444,12.566794888095085
1613,16,SAN JOSE,13,RIVERA,32,26930981,108304,20212707,103473,459885,16.821822024002444,13.03873173721007
1713,17,SORIANO,13,RIVERA,18,22993631,82594,20212707,103473,446333,16.821822024002444,13.008820589178931
1813,18,TACUAREMBO,13,RIVERA,421,18093592,90051,20212707,103473,145310,16.821822024002444,11.886624670314742
1913,19,TREINTA Y TRES,13,RIVERA,23,11720592,48134,20212707,103473,324423,16.821822024002444,12.689803498833404
114,1,MONTEVIDEO,14,ROCHA,1266,465848031,1318755,17547856,68088,252064,16.680442335171204,12.43743830250305
214,2,ARTIGAS,14,ROCHA,47,14214980,73377,17547856,68088,623189,16.680442335171204,13.342605122548495
314,3,CANELONES,14,ROCHA,360,86306492,520173,17547856,68088,232423,16.680442335171204,12.356314266360716
414,4,CERRO LARGO,14,ROCHA,95,17048887,84698,17547856,68088,254936,16.680442335171204,12.448767812247556
514,5,COLONIA,14,ROCHA,35,43788749,123203,17547856,68088,398583,16.680442335171204,12.895671036578872
614,6,DURAZNO,14,ROCHA,61,13023942,57084,17547856,68088,299700,16.680442335171204,12.610537253304754
714,7,FLORES,14,ROCHA,13,7284124,25050,17547856,68088,350525,16.680442335171204,12.767187309589332
814,8,FLORIDA,14,ROCHA,62,17767290,67047,17547856,68088,253261,16.680442335171204,12.442175856508216
914,9,LAVALLEJA,14,ROCHA,150,15594153,58815,17547856,68088,153094,16.680442335171204,11.938807390805975
1014,10,MALDONADO,14,ROCHA,535,51311595,164298,17547856,68088,141478,16.680442335171204,11.85989950694582
1114,11,PAYSANDU,14,ROCHA,50,26828524,113107,17547856,68088,536205,16.680442335171204,13.192271829619296
1214,12,RIO NEGRO,14,ROCHA,48,24297744,54765,17547856,68088,515329,16.680442335171204,13.152560810629145
1314,13,RIVERA,14,ROCHA,46,20212707,103473,17547856,68088,466304,16.680442335171204,13.052593060928182
1514,15,SALTO,14,ROCHA,38,25542275,124861,17547856,68088,624205,16.680442335171204,13.344234119039859
1614,16,SAN JOSE,14,ROCHA,47,26930981,108304,17547856,68088,292089,16.680442335171204,12.584813829330553
1714,17,SORIANO,14,ROCHA,46,22993631,82594,17547856,68088,464640,16.680442335171204,13.049018191178513
1814,18,TACUAREMBO,14,ROCHA,35,18093592,90051,17547856,68088,410429,16.680442335171204,12.924958233110232
1914,19,TREINTA Y TRES,14,ROCHA,174,11720592,48134,17547856,68088,149488,16.680442335171204,11.914971401032737
115,1,MONTEVIDEO,15,SALTO,1547,465848031,1318755,25542275,124861,486960,17.05584548056092,13.095937263167807
215,2,ARTIGAS,15,SALTO,794,14214980,73377,25542275,124861,184479,17.05584548056092,12.12529091484639
315,3,CANELONES,15,SALTO,159,86306492,520173,25542275,124861,478928,17.05584548056092,13.079305551942497
415,4,CERRO LARGO,15,SALTO,19,17048887,84698,25542275,124861,427098,17.05584548056092,12.964768774074505
515,5,COLONIA,15,SALTO,68,43788749,123203,25542275,124861,369969,17.05584548056092,12.821174497326567
615,6,DURAZNO,15,SALTO,28,13023942,57084,25542275,124861,347928,17.05584548056092,12.759750840798842
715,7,FLORES,15,SALTO,17,7284124,25050,25542275,124861,305926,17.05584548056092,12.631098521623553
815,8,FLORIDA,15,SALTO,19,17767290,67047,25542275,124861,427824,17.05584548056092,12.96646717503861
915,9,LAVALLEJA,15,SALTO,15,15594153,58815,25542275,124861,542686,17.05584548056092,13.20428616277753
1015,10,MALDONADO,15,SALTO,98,51311595,164298,25542275,124861,574370,17.05584548056092,13.261029066939944
1115,11,PAYSANDU,15,SALTO,480,26828524,113107,25542275,124861,121845,17.05584548056092,11.710505024153164
1215,12,RIO NEGRO,15,SALTO,133,24297744,54765,25542275,124861,197619,17.05584548056092,12.194096213519574
1315,13,RIVERA,15,SALTO,120,20212707,103473,25542275,124861,286873,17.05584548056092,12.566794888095085
1415,14,ROCHA,15,SALTO,29,17547856,68088,25542275,124861,624205,17.05584548056092,13.344234119039859
1615,16,SAN JOSE,15,SALTO,30,26930981,108304,25542275,124861,425443,17.05584548056092,12.960886257975114
1715,17,SORIANO,15,SALTO,98,22993631,82594,25542275,124861,264554,17.05584548056092,12.485800668233091
1815,18,TACUAREMBO,15,SALTO,174,18093592,90051,25542275,124861,235321,17.05584548056092,12.368705818501914
1915,19,TREINTA Y TRES,15,SALTO,13,11720592,48134,25542275,124861,486999,17.05584548056092,13.096017348674529
116,1,MONTEVIDEO,16,SAN JOSE,4209,465848031,1318755,26930981,108304,67040,17.108787891900022,11.113044735155965
216,2,ARTIGAS,16,SAN JOSE,92,14214980,73377,26930981,108304,570254,17.108787891900022,13.253837154589371
316,3,CANELONES,16,SAN JOSE,908,86306492,520173,26930981,108304,82580,17.108787891900022,11.321522799440082
416,4,CERRO LARGO,16,SAN JOSE,49,17048887,84698,26930981,108304,417388,17.108787891900022,12.941771523810912
516,5,COLONIA,16,SAN JOSE,269,43788749,123203,26930981,108304,123288,17.108787891900022,11.722278360815213
616,6,DURAZNO,16,SAN JOSE,124,13023942,57084,26930981,108304,174995,17.108787891900022,12.07251268106891
716,7,FLORES,16,SAN JOSE,116,7284124,25050,26930981,108304,120843,17.108787891900022,11.702247461408927
816,8,FLORIDA,16,SAN JOSE,321,17767290,67047,26930981,108304,96337,17.108787891900022,11.475607739985847
916,9,LAVALLEJA,16,SAN JOSE,45,15594153,58815,26930981,108304,174452,17.108787891900022,12.06940491115224
1016,10,MALDONADO,16,SAN JOSE,131,51311595,164298,26930981,108304,191187,17.108787891900022,12.161007285656103
1116,11,PAYSANDU,16,SAN JOSE,116,26828524,113107,26930981,108304,306523,17.108787891900022,12.63304807232602
1216,12,RIO NEGRO,16,SAN JOSE,107,24297744,54765,26930981,108304,256067,17.108787891900022,12.453194407969322
1316,13,RIVERA,16,SAN JOSE,99,20212707,103473,26930981,108304,459885,17.108787891900022,13.03873173721007
1416,14,ROCHA,16,SAN JOSE,45,17547856,68088,26930981,108304,292086,17.108787891900022,12.584803558435702
1516,15,SALTO,16,SAN JOSE,99,25542275,124861,26930981,108304,425487,17.108787891900022,12.960989674237414
1716,17,SORIANO,16,SAN JOSE,147,22993631,82594,26930981,108304,197985,17.108787891900022,12.195946549231165
1816,18,TACUAREMBO,16,SAN JOSE,88,18093592,90051,26930981,108304,323511,17.108787891900022,12.68698839543619
1916,19,TREINTA Y TRES,16,SAN JOSE,28,11720592,48134,26930981,108304,317293,17.108787891900022,12.66758091618706
117,1,MONTEVIDEO,17,SORIANO,1173,465848031,1318755,22993631,82594,256694,16.95072782250245,12.45563999299822
217,2,ARTIGAS,17,SORIANO,24,14214980,73377,22993631,82594,447326,16.95072782250245,13.011042914268657
317,3,CANELONES,17,SORIANO,154,86306492,520173,22993631,82594,254962,16.95072782250245,12.448869793428194
417,4,CERRO LARGO,17,SORIANO,34,17048887,84698,22993631,82594,468671,16.95072782250245,13.057656308730087
517,5,COLONIA,17,SORIANO,513,43788749,123203,22993631,82594,115037,16.95072782250245,11.653009094728887
617,6,DURAZNO,17,SORIANO,32,13023942,57084,22993631,82594,195629,16.95072782250245,12.183975287351856
717,7,FLORES,17,SORIANO,85,7284124,25050,22993631,82594,126279,16.95072782250245,11.746249023730215
817,8,FLORIDA,17,SORIANO,51,17767290,67047,22993631,82594,250560,16.95072782250245,12.431453691784576
917,9,LAVALLEJA,17,SORIANO,11,15594153,58815,22993631,82594,346834,16.95072782250245,12.75660155829868
1017,10,MALDONADO,17,SORIANO,110,51311595,164298,22993631,82594,365864,16.95072782250245,12.810016958629348
1117,11,PAYSANDU,17,SORIANO,98,26828524,113107,22993631,82594,145587,16.95072782250245,11.888529125044231
1217,12,RIO NEGRO,17,SORIANO,270,24297744,54765,22993631,82594,67704,16.95072782250245,11.122900541349942
1317,13,RIVERA,17,SORIANO,25,20212707,103473,22993631,82594,446792,16.95072782250245,13.00984844091393
1417,14,ROCHA,17,SORIANO,18,17547856,68088,22993631,82594,464469,16.95072782250245,13.048650096580504
1517,15,SALTO,17,SORIANO,75,25542275,124861,22993631,82594,264551,16.95072782250245,12.485789328328913
1617,16,SAN JOSE,17,SORIANO,112,26930981,108304,22993631,82594,197820,16.95072782250245,12.195112805293832
1817,18,TACUAREMBO,17,SORIANO,72,18093592,90051,22993631,82594,317011,16.95072782250245,12.666691752572833
1917,19,TREINTA Y TRES,17,SORIANO,25,11720592,48134,22993631,82594,408911,16.95072782250245,12.921252807433792
118,1,MONTEVIDEO,18,TACUAREMBO,1421,465848031,1318755,18093592,90051,359657,16.71106840040235,12.792906078473257
218,2,ARTIGAS,18,TACUAREMBO,100,14214980,73377,18093592,90051,254949,16.71106840040235,12.448818804137897
318,3,CANELONES,18,TACUAREMBO,251,86306492,520173,18093592,90051,350845,16.71106840040235,12.768099809474426
418,4,CERRO LARGO,18,TACUAREMBO,135,17048887,84698,18093592,90051,249464,16.71106840040235,12.427069895185959
518,5,COLONIA,18,TACUAREMBO,34,43788749,123203,18093592,90051,348238,16.71106840040235,12.760641433044054
618,6,DURAZNO,18,TACUAREMBO,212,13023942,57084,18093592,90051,200110,16.71106840040235,12.206622494335608
718,7,FLORES,18,TACUAREMBO,29,7284124,25050,18093592,90051,222974,16.71106840040235,12.314810451716637
818,8,FLORIDA,18,TACUAREMBO,68,17767290,67047,18093592,90051,282751,16.71106840040235,12.552321930665304
918,9,LAVALLEJA,18,TACUAREMBO,45,15594153,58815,18093592,90051,354035,16.71106840040235,12.777151057285087
1018,10,MALDONADO,18,TACUAREMBO,71,51311595,164298,18093592,90051,419858,16.71106840040235,12.947671837854376
1118,11,PAYSANDU,18,TACUAREMBO,229,26828524,113107,18093592,90051,240569,16.71106840040235,12.390762229666265
1218,12,RIO NEGRO,18,TACUAREMBO,89,24297744,54765,18093592,90051,282223,16.71106840040235,12.550452817560215
1318,13,RIVERA,18,TACUAREMBO,546,20212707,103473,18093592,90051,145310,16.71106840040235,11.886624670314742
1418,14,ROCHA,18,TACUAREMBO,21,17547856,68088,18093592,90051,410429,16.71106840040235,12.924958233110232
1518,15,SALTO,18,TACUAREMBO,166,25542275,124861,18093592,90051,235321,16.71106840040235,12.368705818501914
1618,16,SAN JOSE,18,TACUAREMBO,53,26930981,108304,18093592,90051,323511,16.71106840040235,12.68698839543619
1718,17,SORIANO,18,TACUAREMBO,41,22993631,82594,18093592,90051,317011,16.71106840040235,12.666691752572833
1918,19,TREINTA Y TRES,18,TACUAREMBO,38,11720592,48134,18093592,90051,300363,16.71106840040235,12.612747022178324
119,1,MONTEVIDEO,19,TREINTA Y TRES,760,465848031,1318755,11720592,48134,288254,16.276857852782847,12.57159731487804
219,2,ARTIGAS,19,TREINTA Y TRES,5,14214980,73377,11720592,48134,481308,16.276857852782847,13.084262676802762
319,3,CANELONES,19,TREINTA Y TRES,124,86306492,520173,11720592,48134,265710,16.276857852782847,12.490160767471739
419,4,CERRO LARGO,19,TREINTA Y TRES,476,17048887,84698,11720592,48134,109230,16.276857852782847,11.60121102983759
519,5,COLONIA,19,TREINTA Y TRES,23,43788749,123203,11720592,48134,412983,16.276857852782847,12.931161708868379
619,6,DURAZNO,19,TREINTA Y TRES,77,13023942,57084,11720592,48134,217352,16.276857852782847,12.289273438122935
719,7,FLORES,19,TREINTA Y TRES,14,7284124,25050,11720592,48134,287718,16.276857852782847,12.569736112754574
819,8,FLORIDA,19,TREINTA Y TRES,64,17767290,67047,11720592,48134,238184,16.276857852782847,12.380798763202296
919,9,LAVALLEJA,19,TREINTA Y TRES,221,15594153,58815,11720592,48134,163121,16.276857852782847,12.002247535685651
1019,10,MALDONADO,19,TREINTA Y TRES,259,51311595,164298,11720592,48134,216981,16.276857852782847,12.287565071085519
1119,11,PAYSANDU,19,TREINTA Y TRES,25,26828524,113107,11720592,48134,454655,16.276857852782847,13.027294168564168
1219,12,RIO NEGRO,19,TREINTA Y TRES,9,24297744,54765,11720592,48134,443288,16.276857852782847,13.001974950662264
1319,13,RIVERA,19,TREINTA Y TRES,57,20212707,103473,11720592,48134,324423,16.276857852782847,12.689803498833404
1419,14,ROCHA,19,TREINTA Y TRES,162,17547856,68088,11720592,48134,149507,16.276857852782847,11.915098493459203
1519,15,SALTO,19,TREINTA Y TRES,8,25542275,124861,11720592,48134,486999,16.276857852782847,13.096017348674529
1619,16,SAN JOSE,19,TREINTA Y TRES,23,26930981,108304,11720592,48134,317293,16.276857852782847,12.66758091618706
1719,17,SORIANO,19,TREINTA Y TRES,16,22993631,82594,11720592,48134,408958,16.276857852782847,12.92136774026546
1819,18,TACUAREMBO,19,TREINTA Y TRES,32,18093592,90051,11720592,48134,300363,16.276857852782847,12.612747022178324
201,2,ARTIGAS,1,MONTEVIDEO,2395,14214980,73377,465848031,1318755,610724,19.959370025169367,13.322400417603927
301,3,CANELONES,1,MONTEVIDEO,11162,86306492,520173,465848031,1318755,22524,19.959370025169367,10.022336686374508
401,4,CERRO LARGO,1,MONTEVIDEO,1805,17048887,84698,465848031,1318755,393680,19.959370025169367,12.88329367553986
501,5,COLONIA,1,MONTEVIDEO,2690,43788749,123203,465848031,1318755,172800,19.959370025169367,12.059890135352092
601,6,DURAZNO,1,MONTEVIDEO,1610,13023942,57084,465848031,1318755,198867,19.959370025169367,12.200391538558206
701,7,FLORES,1,MONTEVIDEO,735,7284124,25050,465848031,1318755,182359,19.959370025169367,12.113732550653646
801,8,FLORIDA,1,MONTEVIDEO,1420,17767290,67047,465848031,1318755,102028,19.959370025169367,11.533002564399407
901,9,LAVALLEJA,1,MONTEVIDEO,1264,15594153,58815,465848031,1318755,134438,19.959370025169367,11.80885840520354
1001,10,MALDONADO,1,MONTEVIDEO,2333,51311595,164298,465848031,1318755,124244,19.959370025169367,11.730002653054457
1101,11,PAYSANDU,1,MONTEVIDEO,2096,26828524,113107,465848031,1318755,368039,19.959370025169367,12.815944189796639
1201,12,RIO NEGRO,1,MONTEVIDEO,1219,24297744,54765,465848031,1318755,314803,19.959370025169367,12.659702325340206
1301,13,RIVERA,1,MONTEVIDEO,2390,20212707,103473,465848031,1318755,496028,19.959370025169367,13.114387655726635
1401,14,ROCHA,1,MONTEVIDEO,1435,17547856,68088,465848031,1318755,252072,19.959370025169367,12.437470039970721
1501,15,SALTO,1,MONTEVIDEO,2481,25542275,124861,465848031,1318755,487002,19.959370025169367,13.096023508832475
1601,16,SAN JOSE,1,MONTEVIDEO,1852,26930981,108304,465848031,1318755,67066,19.959370025169367,11.113432488132354
1701,17,SORIANO,1,MONTEVIDEO,1922,22993631,82594,465848031,1318755,256721,19.959370025169367,12.455745171070635
1801,18,TACUAREMBO,1,MONTEVIDEO,2611,18093592,90051,465848031,1318755,359654,19.959370025169367,12.792897737157746
1901,19,TREINTA Y TRES,1,MONTEVIDEO,1024,11720592,48134,465848031,1318755,288232,19.959370025169367,12.571520990387905
