cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
1,"-34.86347311448007,-56.17403019571399",2,"-30.407062416732217,-56.81554727891256",102,610726
1,"-34.86347311448007,-56.17403019571399",3,"-34.70480623405611,-56.04615274218908",103,22544
1,"-34.86347311448007,-56.17403019571399",4,"-32.412530637702794,-54.04713015664623",104,393703
1,"-34.86347311448007,-56.17403019571399",5,"-34.23198949912197,-57.74210900659811",105,172773
1,"-34.86347311448007,-56.17403019571399",6,"-33.29103587835989,-56.27098299307005",106,198970
1,"-34.86347311448007,-56.17403019571399",7,"-33.53920654666071,-56.90577692183583",107,182361
1,"-34.86347311448007,-56.17403019571399",8,"-34.032026238093366,-56.13160980422134",108,102030
1,"-34.86347311448007,-56.17403019571399",9,"-34.21457704605623,-55.15399089880148",109,134424
1,"-34.86347311448007,-56.17403019571399",10,"-34.85347673674695,-54.98336526692671",110,124272
1,"-34.86347311448007,-56.17403019571399",11,"-32.283872150647106,-57.959994965057604",111,367994
1,"-34.86347311448007,-56.17403019571399",12,"-32.92202758658411,-57.975510334124905",112,314776
1,"-34.86347311448007,-56.17403019571399",13,"-31.02322481060381,-55.50845498927073",113,496031
1,"-34.86347311448007,-56.17403019571399",14,"-34.151878164969204,-54.031687712278405",114,252064
1,"-34.86347311448007,-56.17403019571399",15,"-31.35982522025497,-57.8823388590987",115,486960
1,"-34.86347311448007,-56.17403019571399",16,"-34.51474804942168,-56.61756156142106",116,67040
1,"-34.86347311448007,-56.17403019571399",17,"-33.41667869361325,-57.98829706231997",117,256694
1,"-34.86347311448007,-56.17403019571399",18,"-31.967640007891212,-55.9947894362848",118,359657
1,"-34.86347311448007,-56.17403019571399",19,"-33.168234436521246,-54.359141645492166",119,288254
2,"-30.407062416732217,-56.81554727891256",1,"-34.86347311448007,-56.17403019571399",201,610724
2,"-30.407062416732217,-56.81554727891256",3,"-34.70480623405611,-56.04615274218908",203,601915
2,"-30.407062416732217,-56.81554727891256",4,"-32.412530637702794,-54.04713015664623",204,406688
2,"-30.407062416732217,-56.81554727891256",5,"-34.23198949912197,-57.74210900659811",205,556293
2,"-30.407062416732217,-56.81554727891256",6,"-33.29103587835989,-56.27098299307005",206,446123
2,"-30.407062416732217,-56.81554727891256",7,"-33.53920654666071,-56.90577692183583",207,450737
2,"-30.407062416732217,-56.81554727891256",8,"-34.032026238093366,-56.13160980422134",208,533821
2,"-30.407062416732217,-56.81554727891256",9,"-34.21457704605623,-55.15399089880148",209,593134
2,"-30.407062416732217,-56.81554727891256",10,"-34.85347673674695,-54.98336526692671",210,658957
2,"-30.407062416732217,-56.81554727891256",11,"-32.283872150647106,-57.959994965057604",211,304617
2,"-30.407062416732217,-56.81554727891256",12,"-32.92202758658411,-57.975510334124905",212,380391
2,"-30.407062416732217,-56.81554727891256",13,"-31.02322481060381,-55.50845498927073",213,165817
2,"-30.407062416732217,-56.81554727891256",14,"-34.151878164969204,-54.031687712278405",214,623189
2,"-30.407062416732217,-56.81554727891256",15,"-31.35982522025497,-57.8823388590987",215,184479
2,"-30.407062416732217,-56.81554727891256",16,"-34.51474804942168,-56.61756156142106",216,570254
2,"-30.407062416732217,-56.81554727891256",17,"-33.41667869361325,-57.98829706231997",217,447326
2,"-30.407062416732217,-56.81554727891256",18,"-31.967640007891212,-55.9947894362848",218,254949
2,"-30.407062416732217,-56.81554727891256",19,"-33.168234436521246,-54.359141645492166",219,481308
3,"-34.70480623405611,-56.04615274218908",1,"-34.86347311448007,-56.17403019571399",301,22524
3,"-34.70480623405611,-56.04615274218908",2,"-30.407062416732217,-56.81554727891256",302,601915
3,"-34.70480623405611,-56.04615274218908",4,"-32.412530637702794,-54.04713015664623",304,371159
3,"-34.70480623405611,-56.04615274218908",5,"-34.23198949912197,-57.74210900659811",305,189989
3,"-34.70480623405611,-56.04615274218908",6,"-33.29103587835989,-56.27098299307005",306,190159
3,"-34.70480623405611,-56.04615274218908",7,"-33.53920654666071,-56.90577692183583",307,174329
3,"-34.70480623405611,-56.04615274218908",8,"-34.032026238093366,-56.13160980422134",308,88131
3,"-34.70480623405611,-56.04615274218908",9,"-34.21457704605623,-55.15399089880148",309,114784
3,"-34.70480623405611,-56.04615274218908",10,"-34.85347673674695,-54.98336526692671",310,113438
3,"-34.70480623405611,-56.04615274218908",11,"-32.283872150647106,-57.959994965057604",311,359961
3,"-34.70480623405611,-56.04615274218908",12,"-32.92202758658411,-57.975510334124905",312,313044
3,"-34.70480623405611,-56.04615274218908",13,"-31.02322481060381,-55.50845498927073",313,487220
3,"-34.70480623405611,-56.04615274218908",14,"-34.151878164969204,-54.031687712278405",314,232423
3,"-34.70480623405611,-56.04615274218908",15,"-31.35982522025497,-57.8823388590987",315,478928
3,"-34.70480623405611,-56.04615274218908",16,"-34.51474804942168,-56.61756156142106",316,82580
3,"-34.70480623405611,-56.04615274218908",17,"-33.41667869361325,-57.98829706231997",317,254962
3,"-34.70480623405611,-56.04615274218908",18,"-31.967640007891212,-55.9947894362848",318,350845
3,"-34.70480623405611,-56.04615274218908",19,"-33.168234436521246,-54.359141645492166",319,265710
4,"-32.412530637702794,-54.04713015664623",1,"-34.86347311448007,-56.17403019571399",401,393680
4,"-32.412530637702794,-54.04713015664623",2,"-30.407062416732217,-56.81554727891256",402,406694
4,"-32.412530637702794,-54.04713015664623",3,"-34.70480623405611,-56.04615274218908",403,371156
4,"-32.412530637702794,-54.04713015664623",5,"-34.23198949912197,-57.74210900659811",405,472743
4,"-32.412530637702794,-54.04713015664623",6,"-33.29103587835989,-56.27098299307005",406,277112
4,"-32.412530637702794,-54.04713015664623",7,"-33.53920654666071,-56.90577692183583",407,347479
4,"-32.412530637702794,-54.04713015664623",8,"-34.032026238093366,-56.13160980422134",408,335796
4,"-32.412530637702794,-54.04713015664623",9,"-34.21457704605623,-55.15399089880148",409,268550
4,"-32.412530637702794,-54.04713015664623",10,"-34.85347673674695,-54.98336526692671",410,322406
4,"-32.412530637702794,-54.04713015664623",11,"-32.283872150647106,-57.959994965057604",411,444743
4,"-32.412530637702794,-54.04713015664623",12,"-32.92202758658411,-57.975510334124905",412,486397
4,"-32.412530637702794,-54.04713015664623",13,"-31.02322481060381,-55.50845498927073",413,240871
4,"-32.412530637702794,-54.04713015664623",14,"-34.151878164969204,-54.031687712278405",414,254936
4,"-32.412530637702794,-54.04713015664623",15,"-31.35982522025497,-57.8823388590987",415,427098
4,"-32.412530637702794,-54.04713015664623",16,"-34.51474804942168,-56.61756156142106",416,417388
4,"-32.412530637702794,-54.04713015664623",17,"-33.41667869361325,-57.98829706231997",417,468671
4,"-32.412530637702794,-54.04713015664623",18,"-31.967640007891212,-55.9947894362848",418,249464
4,"-32.412530637702794,-54.04713015664623",19,"-33.168234436521246,-54.359141645492166",419,109230
5,"-34.23198949912197,-57.74210900659811",1,"-34.86347311448007,-56.17403019571399",501,172800
5,"-34.23198949912197,-57.74210900659811",2,"-30.407062416732217,-56.81554727891256",502,556292
5,"-34.23198949912197,-57.74210900659811",3,"-34.70480623405611,-56.04615274218908",503,189992
5,"-34.23198949912197,-57.74210900659811",4,"-32.412530637702794,-54.04713015664623",504,472743
5,"-34.23198949912197,-57.74210900659811",6,"-33.29103587835989,-56.27098299307005",506,199701
5,"-34.23198949912197,-57.74210900659811",7,"-33.53920654666071,-56.90577692183583",507,125265
5,"-34.23198949912197,-57.74210900659811",8,"-34.032026238093366,-56.13160980422134",508,194958
5,"-34.23198949912197,-57.74210900659811",9,"-34.21457704605623,-55.15399089880148",509,280944
5,"-34.23198949912197,-57.74210900659811",10,"-34.85347673674695,-54.98336526692671",510,296954
5,"-34.23198949912197,-57.74210900659811",11,"-32.283872150647106,-57.959994965057604",511,251002
5,"-34.23198949912197,-57.74210900659811",12,"-32.92202758658411,-57.975510334124905",512,173119
5,"-34.23198949912197,-57.74210900659811",13,"-31.02322481060381,-55.50845498927073",513,484613
5,"-34.23198949912197,-57.74210900659811",14,"-34.151878164969204,-54.031687712278405",514,398583
5,"-34.23198949912197,-57.74210900659811",15,"-31.35982522025497,-57.8823388590987",515,369969
5,"-34.23198949912197,-57.74210900659811",16,"-34.51474804942168,-56.61756156142106",516,123288
5,"-34.23198949912197,-57.74210900659811",17,"-33.41667869361325,-57.98829706231997",517,115037
5,"-34.23198949912197,-57.74210900659811",18,"-31.967640007891212,-55.9947894362848",518,348238
5,"-34.23198949912197,-57.74210900659811",19,"-33.168234436521246,-54.359141645492166",519,412983
6,"-33.29103587835989,-56.27098299307005",1,"-34.86347311448007,-56.17403019571399",601,198867
6,"-33.29103587835989,-56.27098299307005",2,"-30.407062416732217,-56.81554727891256",602,446123
6,"-33.29103587835989,-56.27098299307005",3,"-34.70480623405611,-56.04615274218908",603,190058
6,"-33.29103587835989,-56.27098299307005",4,"-32.412530637702794,-54.04713015664623",604,277112
6,"-33.29103587835989,-56.27098299307005",5,"-34.23198949912197,-57.74210900659811",605,199701
6,"-33.29103587835989,-56.27098299307005",7,"-33.53920654666071,-56.90577692183583",607,74436
6,"-33.29103587835989,-56.27098299307005",8,"-34.032026238093366,-56.13160980422134",608,121653
6,"-33.29103587835989,-56.27098299307005",9,"-34.21457704605623,-55.15399089880148",609,202724
6,"-33.29103587835989,-56.27098299307005",10,"-34.85347673674695,-54.98336526692671",610,260638
6,"-33.29103587835989,-56.27098299307005",11,"-32.283872150647106,-57.959994965057604",611,256308
6,"-33.29103587835989,-56.27098299307005",12,"-32.92202758658411,-57.975510334124905",612,235433
6,"-33.29103587835989,-56.27098299307005",13,"-31.02322481060381,-55.50845498927073",613,336484
6,"-33.29103587835989,-56.27098299307005",14,"-34.151878164969204,-54.031687712278405",614,299700
6,"-33.29103587835989,-56.27098299307005",15,"-31.35982522025497,-57.8823388590987",615,347928
6,"-33.29103587835989,-56.27098299307005",16,"-34.51474804942168,-56.61756156142106",616,174995
6,"-33.29103587835989,-56.27098299307005",17,"-33.41667869361325,-57.98829706231997",617,195629
6,"-33.29103587835989,-56.27098299307005",18,"-31.967640007891212,-55.9947894362848",618,200110
6,"-33.29103587835989,-56.27098299307005",19,"-33.168234436521246,-54.359141645492166",619,217352
7,"-33.53920654666071,-56.90577692183583",1,"-34.86347311448007,-56.17403019571399",701,182359
7,"-33.53920654666071,-56.90577692183583",2,"-30.407062416732217,-56.81554727891256",702,450690
7,"-33.53920654666071,-56.90577692183583",3,"-34.70480623405611,-56.04615274218908",703,174329
7,"-33.53920654666071,-56.90577692183583",4,"-32.412530637702794,-54.04713015664623",704,347479
7,"-33.53920654666071,-56.90577692183583",5,"-34.23198949912197,-57.74210900659811",705,125265
7,"-33.53920654666071,-56.90577692183583",6,"-33.29103587835989,-56.27098299307005",706,74436
7,"-33.53920654666071,-56.90577692183583",8,"-34.032026238093366,-56.13160980422134",708,125607
7,"-33.53920654666071,-56.90577692183583",9,"-34.21457704605623,-55.15399089880148",709,236470
7,"-33.53920654666071,-56.90577692183583",10,"-34.85347673674695,-54.98336526692671",710,272160
7,"-33.53920654666071,-56.90577692183583",11,"-32.283872150647106,-57.959994965057604",711,186959
7,"-33.53920654666071,-56.90577692183583",12,"-32.92202758658411,-57.975510334124905",712,166083
7,"-33.53920654666071,-56.90577692183583",13,"-31.02322481060381,-55.50845498927073",713,359348
7,"-33.53920654666071,-56.90577692183583",14,"-34.151878164969204,-54.031687712278405",714,350525
7,"-33.53920654666071,-56.90577692183583",15,"-31.35982522025497,-57.8823388590987",715,305926
7,"-33.53920654666071,-56.90577692183583",16,"-34.51474804942168,-56.61756156142106",716,120843
7,"-33.53920654666071,-56.90577692183583",17,"-33.41667869361325,-57.98829706231997",717,126279
7,"-33.53920654666071,-56.90577692183583",18,"-31.967640007891212,-55.9947894362848",718,222974
7,"-33.53920654666071,-56.90577692183583",19,"-33.168234436521246,-54.359141645492166",719,287718
8,"-34.032026238093366,-56.13160980422134",1,"-34.86347311448007,-56.17403019571399",801,102028
8,"-34.032026238093366,-56.13160980422134",2,"-30.407062416732217,-56.81554727891256",802,533821
8,"-34.032026238093366,-56.13160980422134",3,"-34.70480623405611,-56.04615274218908",803,88131
8,"-34.032026238093366,-56.13160980422134",4,"-32.412530637702794,-54.04713015664623",804,335796
8,"-34.032026238093366,-56.13160980422134",5,"-34.23198949912197,-57.74210900659811",805,194958
8,"-34.032026238093366,-56.13160980422134",6,"-33.29103587835989,-56.27098299307005",806,121653
8,"-34.032026238093366,-56.13160980422134",7,"-33.53920654666071,-56.90577692183583",807,125607
8,"-34.032026238093366,-56.13160980422134",9,"-34.21457704605623,-55.15399089880148",809,130899
8,"-34.032026238093366,-56.13160980422134",10,"-34.85347673674695,-54.98336526692671",810,166590
8,"-34.032026238093366,-56.13160980422134",11,"-32.283872150647106,-57.959994965057604",811,311240
8,"-34.032026238093366,-56.13160980422134",12,"-32.92202758658411,-57.975510334124905",812,290364
8,"-34.032026238093366,-56.13160980422134",13,"-31.02322481060381,-55.50845498927073",813,419126
8,"-34.032026238093366,-56.13160980422134",14,"-34.151878164969204,-54.031687712278405",814,253261
8,"-34.032026238093366,-56.13160980422134",15,"-31.35982522025497,-57.8823388590987",815,427824
8,"-34.032026238093366,-56.13160980422134",16,"-34.51474804942168,-56.61756156142106",816,96337
8,"-34.032026238093366,-56.13160980422134",17,"-33.41667869361325,-57.98829706231997",817,250560
8,"-34.032026238093366,-56.13160980422134",18,"-31.967640007891212,-55.9947894362848",818,282751
8,"-34.032026238093366,-56.13160980422134",19,"-33.168234436521246,-54.359141645492166",819,238184
9,"-34.21457704605623,-55.15399089880148",1,"-34.86347311448007,-56.17403019571399",901,134438
9,"-34.21457704605623,-55.15399089880148",2,"-30.407062416732217,-56.81554727891256",902,593134
9,"-34.21457704605623,-55.15399089880148",3,"-34.70480623405611,-56.04615274218908",903,114784
9,"-34.21457704605623,-55.15399089880148",4,"-32.412530637702794,-54.04713015664623",904,268569
9,"-34.21457704605623,-55.15399089880148",5,"-34.23198949912197,-57.74210900659811",905,280946
9,"-34.21457704605623,-55.15399089880148",6,"-33.29103587835989,-56.27098299307005",906,202724
9,"-34.21457704605623,-55.15399089880148",7,"-33.53920654666071,-56.90577692183583",907,236470
9,"-34.21457704605623,-55.15399089880148",8,"-34.032026238093366,-56.13160980422134",908,130899
9,"-34.21457704605623,-55.15399089880148",10,"-34.85347673674695,-54.98336526692671",910,86435
9,"-34.21457704605623,-55.15399089880148",11,"-32.283872150647106,-57.959994965057604",911,422102
9,"-34.21457704605623,-55.15399089880148",12,"-32.92202758658411,-57.975510334124905",912,401227
9,"-34.21457704605623,-55.15399089880148",13,"-31.02322481060381,-55.50845498927073",913,464972
9,"-34.21457704605623,-55.15399089880148",14,"-34.151878164969204,-54.031687712278405",914,153094
9,"-34.21457704605623,-55.15399089880148",15,"-31.35982522025497,-57.8823388590987",915,542686
9,"-34.21457704605623,-55.15399089880148",16,"-34.51474804942168,-56.61756156142106",916,174452
9,"-34.21457704605623,-55.15399089880148",17,"-33.41667869361325,-57.98829706231997",917,346834
9,"-34.21457704605623,-55.15399089880148",18,"-31.967640007891212,-55.9947894362848",918,354035
9,"-34.21457704605623,-55.15399089880148",19,"-33.168234436521246,-54.359141645492166",919,163121
10,"-34.85347673674695,-54.98336526692671",1,"-34.86347311448007,-56.17403019571399",1001,124244
10,"-34.85347673674695,-54.98336526692671",2,"-30.407062416732217,-56.81554727891256",1002,658957
10,"-34.85347673674695,-54.98336526692671",3,"-34.70480623405611,-56.04615274218908",1003,113400
10,"-34.85347673674695,-54.98336526692671",4,"-32.412530637702794,-54.04713015664623",1004,322429
10,"-34.85347673674695,-54.98336526692671",5,"-34.23198949912197,-57.74210900659811",1005,296919
10,"-34.85347673674695,-54.98336526692671",6,"-33.29103587835989,-56.27098299307005",1006,260814
10,"-34.85347673674695,-54.98336526692671",7,"-33.53920654666071,-56.90577692183583",1007,272152
10,"-34.85347673674695,-54.98336526692671",8,"-34.032026238093366,-56.13160980422134",1008,166582
10,"-34.85347673674695,-54.98336526692671",9,"-34.21457704605623,-55.15399089880148",1009,85327
10,"-34.85347673674695,-54.98336526692671",11,"-32.283872150647106,-57.959994965057604",1011,457785
